Id,HR,interval in seconds,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF,stress
1001,108.3294468,0.668182979,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1002,91.07412766,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1003,92.20178723,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1004,94.77625532,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1005,,0.676691304,0.9787410000000000,0.676911,0.0304244,0.01299912,0.0277273,0.000548335,0.0,0.000863003,0.000292113,3.32E-05,8.79347,0.0
1006,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1007,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1008,,0.721459091,0.977753,0.721219,0.030880300000000000,0.023259400000000000,0.10023810000000000,0.000516669,0.0,0.000789946,0.00029004,7.67E-05,3.78234,0.0
1009,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1010,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1011,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1012,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1013,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1014,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1015,,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1016,91.48563636,0.7318,,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1017,85.75836364,0.7318,,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1018,88.32654545,0.7318,,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1019,87.46290909,0.7318,,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1020,89.82654545,0.7318,,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1021,84.34927273,0.7318,,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1022,82.122,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1023,90.69018182,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,0.0
1024,88.21290909,0.717027273,0.977753,0.716684,0.0343851,0.0132297,0.028809500000000000,0.000814801,0.0,0.001039329,0.000363894,5.16E-05,7.0552,0.0
1025,96.03157447,0.6737148940000000,0.979203,0.672452,0.0251175,0.01288963,0.027222200000000000,0.000292897,0.0,0.0007168000000000000,0.000148707,6.74E-05,2.20564,0.0
1026,95.57608163,0.627616327,0.980072,0.6268,0.0379117,0.012535360000000000,0.0262766,0.000974108,0.0,0.001372261,0.000196795,4.51E-05,4.3681,1.0
1027,172.212,0.6028,0.98048,0.6028,0.006600007840000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1028,145.49200000000000,0.6028,0.98048,0.6028,0.006600007840000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1029,112.9434286,0.626310204,0.980072,0.6268,0.0379117,0.012535360000000000,0.0262766,0.000974591,0.0,0.001373782,0.000194815,4.6E-05,4.23574,2.0
1030,107.0315745,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1031,142.7762553,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1032,108.5422128,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1033,122.9589565,0.676691304,0.9787410000000000,0.676911,0.0304244,0.017058,0.0504545,0.000574142,0.0,0.00084489,0.000319456,4.98E-05,6.41529,1.0
1034,123.5992727,0.71555,0.977753,0.716684,0.0343851,0.020572,0.0764286,0.000724442,0.0,0.0008455310000000000,0.000441129,7.78E-05,5.67137,1.0
1035,95.48563636,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,1.0
1036,96.50533333,0.7000222220000000,0.9782580000000000,0.6993,0.0394757,0.020368800000000000,0.0747674,0.00104038,0.0,0.001249423,0.00030683,0.000124124,2.47196,2.0
1037,117.9890213,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1038,119.3081702,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1039,118.8188085,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1040,136.4145532,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1041,102.39373913,0.673865217,0.9787410000000000,0.674022,0.027258400000000000,0.017058,0.0504545,0.000406765,0.0,0.000743211,0.000223112,8.04E-05,2.77356,2.0
1042,117.1111304,0.676691304,0.9787410000000000,0.676911,0.0304244,0.0227982,0.09590910000000000,0.000521142,0.0,0.0007939290000000000,0.000211,0.000156213,1.35072,2.0
1043,99.84927273,0.7037318180000000,0.977753,0.7045910000000000,0.039046000000000000,0.0132297,0.028809500000000000,0.00108472,0.0,0.0014499880000000000,0.000193053,8.17E-05,2.3635,2.0
1044,90.73563636,0.719981818,0.977753,0.7197070000000000,0.0321937,0.023259400000000000,0.10023810000000000,0.000549588,0.0,0.000868457,0.000249217,7.19E-05,3.46549,2.0
1045,94.32654545,0.7258909090000000,0.977753,0.7257530000000000,0.025703700000000000,0.0132297,0.028809500000000000,0.00032235,0.0,0.0007289000000000000,0.000154913,7.85E-05,1.97353,1.0
1046,81.28504348,0.6823434780000000,0.9787410000000000,0.6812440000000000,0.0339284,0.01299912,0.0277273,0.000765472,0.0,0.0010279170000000000,0.000317419,6.01E-05,5.27841,2.0
1047,120.372,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1048,125.9251915,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1049,107.4996596,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1050,125.1166809,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1051,94.77625532,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1052,106.8826383,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1053,93.24434043,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1054,115.6273191,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1055,95.73370213,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1056,91.07412766,0.6668000000000000,0.979203,,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1057,94.8613617,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1058,97.77625532,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1059,103.8400851,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1060,115.2443404,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1061,118.8826383,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1062,109.3507234,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1063,96.81880851,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1064,91.81644444,0.6928000000000000,0.9782580000000000,0.6933910000000000,0.0389278,0.027480300000000000,0.144535,0.000990187,0.0,0.00104024,0.000328734,0.000261213,1.25849,2.0
1065,89.172,0.715911111,0.9782580000000000,0.71555,0.0350712,0.0230248,0.09802330000000000,0.000753365,0.0,0.000859646,0.000404381,0.000129338,3.12654,2.0
1066,91.75836364,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,2.0
1067,93.91745455,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,2.0
1068,108.2129091,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,2.0
1069,92.18051064,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1070,93.08311111,0.701466667,0.9782580000000000,0.7022550000000000,0.0393396,0.01311241,0.0282558,0.00111096,0.0,0.001474307,0.000196501,8.02E-05,2.45159,0.0
1071,87.34927273,0.721459091,0.977753,0.721219,0.030880300000000000,0.0132297,0.028809500000000000,0.000578726,0.0,0.000872901,0.00029662,4.92E-05,6.02835,0.0
1072,87.92519149,0.6778638300000000,0.979203,0.676691,0.0302053,0.01288963,0.027222200000000000,0.000545116,0.0,0.0008516280000000000,0.000287525,4.6E-05,6.2556,1.0
1073,92.07412766,0.6586297870000000,0.979203,0.658452,0.028392200000000000,0.01274056,0.027222200000000000,0.000473685,0.0,0.0007929520000000000,0.000246704,7.4E-05,3.33251,1.0
1074,101.752,0.6143200000000000,0.98048,0.613249,0.030500000000000000,0.0124376,0.0258333,0.000557191,0.0,0.000866,0.000285053,4.61E-05,6.17826,2.0
1075,142.23200000000000,0.6040800000000000,0.98048,0.604106,0.01574286,0.0162639,0.046666700000000000,3.93E-05,0.0,0.00064183,1.19E-05,2.56E-05,0.464669,2.0
1076,124.9039149,0.664076596,0.979203,0.6640170000000000,0.019795800000000000,0.0197247,0.0716667,7.33E-05,0.0,0.0006586000000000000,3.02E-05,2.45E-05,1.23423,2.0
1077,98.05285106,0.662714894,0.979203,0.662626,0.0225768,0.0222811,0.09388890000000000,0.000157899,0.0,0.0006598000000000000,6.4E-05,7.41E-05,0.863129,2.0
1078,94.3507234,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1079,85.91547826,0.676691304,0.9787410000000000,0.676911,0.0304244,0.01299912,0.0277273,0.000580896,0.0,0.000882914,0.000284933,5.3E-05,5.3712,2.0
1080,84.73563636,0.719981818,0.977753,0.721219,0.030880300000000000,0.0132297,0.028809500000000000,0.000578604,0.0,0.0009019920000000000,0.000226484,9.01E-05,2.51293,2.0
1081,101.26088889,0.704355556,0.9782580000000000,0.703732,0.039168600000000000,0.01311241,0.0282558,0.00111227,0.0,0.001458524,0.00020107,9.27E-05,2.16967,1.0
1082,133.1166809,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1083,125.0741277,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1084,88.45710638,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1085,93.92519149,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1086,92.28689362,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1087,92.96774468,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1088,74.62731915,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1089,95.89373913,0.687995652,0.9787410000000000,0.688467,0.0375875,0.01299912,0.0277273,0.000955015,0.0,0.0013139620000000000,0.000221968,5.91E-05,3.7567,2.0
1090,89.96290909,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,1.0
1091,93.92519149,0.680629787,0.979203,0.679517,0.0326706,0.01288963,0.027222200000000000,0.000699083,0.0,0.0009897410000000000,0.000299241,5.01E-05,5.97274,0.0
1092,121.7337021,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1093,105.265617,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1094,94.66987234,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,0.0
1095,121.1328696,0.675278261,0.9787410000000000,0.675467,0.028945400000000000,0.01299912,0.0277273,0.000452421,0.0,0.000816616,0.000217291,5.85E-05,3.71354,1.0
1096,101.73563636,0.718504545,0.977753,0.7197070000000000,0.0321937,0.0132297,0.028809500000000000,0.000658355,0.0,0.000942034,0.00029432,6.2E-05,4.74707,1.0
1097,99.28109091,0.730322727,0.977753,0.730288,0.01651241,0.0173842,0.052619,5.32E-05,0.0,0.00064232,1.67E-05,3.42E-05,0.48876,1.0
1098,118.8937391,0.6922347830000000,0.9787410000000000,0.6913560000000000,0.0384702,0.01299912,0.0277273,0.00106145,0.0,0.0014044180000000000,0.000237531,5.95E-05,3.99229,0.0
1099,91.30817021,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1100,116.8188085,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1101,108.4571064,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1102,135.8188085,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1103,174.6485957,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1104,124.9856364,0.7052090910000000,0.977753,0.706102,0.0387563,0.0132297,0.028809500000000000,0.00108665,0.0,0.001502071,0.000155805,6.88E-05,2.2654,2.0
1105,93.57654545,0.7244136360000000,0.977753,0.724242,0.027682900000000000,0.0173842,0.052619,0.00033704,0.0,0.000760764,0.000191648,2.46E-05,7.78136,2.0
1106,84.94018182,0.721459091,0.977753,0.721219,0.030880300000000000,0.023259400000000000,0.10023810000000000,0.000446204,0.0,0.000746386,0.000243702,9.61E-05,2.5355,2.0
1107,97.69018182,0.7318,0.977753,0.7318,,0.0032,0.005000000000000000,,0.0,,,,,2.0
1108,86.59422222,0.697133333,0.9782580000000000,0.696345,0.0393396,0.01311241,0.0282558,0.00109731,0.0,0.0014786080000000000,0.000188752,6.99E-05,2.69843,1.0
1109,89.04591304,0.675278261,0.9787410000000000,0.675467,0.028945400000000000,0.017058,0.0504545,0.000470288,0.0,0.0007076000000000000,0.000332477,7.02E-05,4.7369,1.0
1110,77.52093617,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,1.0
1111,95.45710638,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1112,108.2230638,0.6668000000000000,0.979203,0.6668000000000000,0.006600022400000000,0.0032,0.005000000000000000,,0.0,,,,,2.0
1113,86.78504348,0.686582609,0.9787410000000000,0.687022,0.0370317,0.01299912,0.0277273,0.000940857,0.0,0.001263131,0.000249508,6.82E-05,3.65753,2.0
